,english_premise,english_hypothesis,english_label
0,and these comments were considered in formulating the interim rules.,The rules developed in the interim were put together with these comments in mind.,0
1,"These are issues that we wrestle with in practice groups of law firms, she said. ",Practice groups are not permitted to work on these issues.,2
2,you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can't defend themselves because of their age.,0
3,From Cockpit Country to St. Ann's Bay,From St. Ann's Bay to Cockpit Country.,2
4,"Look, it's your skin, but you're going to be in trouble if you don't get busy.",The boss will fire you if he sees you slacking off.,1
5,"""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it. ",Many people have poisoned someone by mistake.,1
6,"My own little corner of the world, policy wonking, is an example.",An example is policy wonking.,0
7,life in prison then he's available for parole if it's if it's life and a day then he's not eligible for parole so what you know let's quit BSing with the system,The system is corrupt because he won't be able to get parole if it's life and a day.,1
8,"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images.",Vendors have lined the streets with torches and fires.,2
9,"North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.",There is nothing special to see in the village of Moria.,2
10,"Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.","Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living.",0
11,"It's just the beginning!""",A great journey is about to begin!,1
12,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",The Sun makes millions every year off fake news.,1
13,Savonarola burned in Florence,Florence became Savonarola's new home.,2
14,"It will be COLOSSAL!""",It will be gigantic.,0
15,He says men are here.,He said that the men were not here. ,2
16,yeah uh-huh oh yeah petting zoos and things,"Yes, petting and other things.",0
17,"The almost midtown Massabielle quarter (faubourg de Massabielle), is sometimes described as the most picturesque in the city.",The Massabielle quarter is considered the most photogenic.,0
18,4) Not enough is known about how nontransportation costs vary with distance.,The ways in which distance affects nontransportation costs is a subject we don't have enough information on.,0
19,i am surprised though that we do have so many that are in politics down here,I am surprised that not many of them are in politics down here.,2
20,The draft treaty was Tommy's bait.,The treaty bait was not for Tommy.,2
21,"Therefore, the number of boilermakers may actually grow more quickly than what was assumed.",The number of boil makers will decrease drastically as expected.,2
22,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.",As long as Assad doesn't die he will be able to take care of the troubles.,0
23,The four Javis children? asked Severn.,Severn knows everything about the Jarvis children.,1
24,My brain refusing to command properly.,My brain was not commanding properly.,0
25," ""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.",Your farewell activity didn't go well.,0
26,You have to walk through it).,You need to pass through it on foot.,0
27,"No, I exclaimed, astonished. ","""No!"" I cried out in shock. ",0
28,"Bauerstein had been at Styles on the fatal night, and added: ""He said twice: 'That alters everything.' And I've been thinking. ",Styles is responsible for what happened. ,1
29,"Long ago--or away, or whatever--there was a world called Thar?? and another called Erath.",Erath is the only world that has ever existed.,2
30,"Then, all the time, it was in the spill vase in Mrs. Inglethorp's bedroom, under our very noses? I cried. ","So it was hidden in another country, impossible for us to locate?",2
31,because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i'm going to have some landscaping put in,I have never developed a love for gardening. ,1
32,' She gets a little obsessive about her sauce.,Her sauce is so complicated that she's obsessed with perfecting each ingredient. ,1
33,"Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.","While kids today are symbols of success and status, and their parents are too. ",1
34,China's civil war sent distressing echoes to Hong Kong.,Japan fought a civil war.,2
35,"The seven grants flow from a new Nonprofit Capacity Building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.","The grants flow from a Nonprofit Capacity Building program at the foundation, exemplifying a trend among philanthropists to give money to grow organizations and then to take them over.",1
36,"Or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof.",The age of consent is age 21 as well.,1
37,"In this respect, bringing Steve Jobs back to save Apple is like bringing Gen.",Steve Jobs came back to Apple.,0
38,or they had somebody at home that was ill that they had to tend to i mean you can't make it everybody,They did not have anything to do.,2
39,"from generation to generation (Michiko Kakutani, the New York Times ). A few, like Pearl K. Bell in the Wall Street Journal , find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality.",They complained that the novel lacked any emotions.,2
40,"Hey, no problem, a fine policy.","No worries, a good policy.",0
41,"The m??tro (subway) is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.",Taking the subway is a good way to experience big city life. ,2
42,"They were so sure of themselves that they took it for granted he had made a mistake.""",They simply assumed that he'd made a mistake.,0
43,i'm on i'm in the Plano school system and living in Richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school,There is a huge amount of poor students and very few wealthy.,1
44,okay and and i think we just hang up i don't think we have to do anything else,"That's it, we just hang up, right? ",0
45,"They capitalized on the natural resources by using the salt to cure fish, which they exported to their home country.",They used salt to cure fish and sent it back home. ,0
46,"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",News outlets do not blame users or system administrators for security breaches. ,2
47,"To their good fortune, he's proving them right.",He is showing that they were correct.,0
48,Too bad it chose to use McIntyre instead.,McIntyre was picked to be used as the closing pitcher.,1
49,and the other thing is the cost it's almost prohibitive to bring it to a dealer,It's cheap to bring it to a dealer.,2
50,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.,A whole life policy is the best choice for someone who expects to live to the age of 90.,1
51,"2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.",2466 discusses four collections.,0
52,"The Women's Haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.",There is a full-time attorney at the Women's Haven already.,0
53,uh high humidity,Air with increased water content.,0
54,"We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.",We can completely ignore the implications of the roles on mobility.,2
55,yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there,There is another layer to the surface.,0
56,"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",No consideration will be given to the cost of doing the work in this case.,2
57,Is there adequate information for judging generalizability?,Output information is way too much generalized.,1
58,The political cleansing that did not happen through the impeachment process leaves Clinton with a great and serious burden.,The impeachment process involved Clinton's husband as well.,1
59,isn't it i can remember i've only been here eight years but i can remember coming to work from i used to live in Wylie and i could see downtown Dallas,I have only been here for two years.,2
60,"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.",The US could save more than it invested in the 1980's and 90's.,2
61,"Credibility is a vital factor, and Jim Lehrer does, indeed, have it.",Everyone would believe whatever Jim Lehrer said.,1
62,There should be someone here who knew more of what was going on in this world than he did now.,He knew he was the only person with any idea of what was going on. ,2
63,"Its scorecard included measures for accuracy, speed and timeliness, unit cost, customer satisfaction, and employee development and satisfaction.",Accuracy and speed are the first measurements listed on the scorecard.,1
64,"On the left of the entrance ramp is the open space once occupied by the Temple of Athena, close to which are the remains of the Pergamene library.",There are no remains visible from the ramp.,2
65,"If you are keen to learn Israeli folk dancing, the Bicurei Ha'etim Cellar in Heftman Street will teach you.",The Bicurei Ha'etim Cellar is the only place to learn Israeli folk dancing.,1
66,"Or Sherlock Holmes?""",Was it Sherlock Holmes?,0
67,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities did not have a railway between them.,0
68,Tourist Information offices can be very helpful.,Tourist Information offices are never of any help.,2
69,"More detailed implementation plans also will be necessary to address business system, processes, and resource issues.","Detailed implementation plans are necessary to address business system, processes and resources ",0
70,"First, injected cannabinoids may not mirror the effects of smoked marijuana.",Smoking marijuana gets people higher than injected them with cannabinoids.,1
71,The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.,The data would be included in individual reports concerning the constituent units of the federal government.,2
72,Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.,"""Views of Curral da Freiras and the valley of Ribeiro do Poco"" is chapter 5. ",1
73,"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage.",Interest rate can range from zero to fifteen percent. ,1
74,that's hilarious to to get that jack off that's right oh that's a funny story,I will enjoy telling that story.,1
75,"Mr. Erlenborn attended undergraduate courses at the University of Notre Dame, Indiana University, the University of Illinois, and Loyala University of Chicago.",Mr. Erlenborn attended classes in at least four different universities.,0
76,"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us.",Our clients can afford attorneys and bouncing between lawyers.,2
77,Finally the woman opened her eyes feebly.,She opened her eyes. ,0
78,The finest is the huge conical-roofed Tomb/Pillar of Absalom (King David's son).,The Tomb/Pillar of Absalom has a large cone-shaped roof.,0
79,"Unless the mention of the Ritz was an accidental remark?""",Was mentioning the Ritz accidental?,0
80,They are the four sentences you always insert in plagiarized papers to throw the professor off track.,These four sentences force professors to skim over the paragraph and inadvertently skip the plagiarized information.,1
81,This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.,He claimed he was robbed on the way and has no money or a plane ticket,0
82,"It was planned in the 1820s as a symbol of Scottish national pride and designed as a mini-Parthenon, in deference to the neoclassical style popular at the time.",It was designed to be a smaller version of the Parthenon.  ,0
83,"Although claims data provide the most accurate information about health care use, ensuring adequate follow-up for purposes of obtaining information from patient self-report is important because many people do not report alcohol-related events to insurance compa-nies.",Alcohol related events that contribute to disease are often unreported by patients to their insurance companies. ,0
84,"Could you please speak to this issue, with regard to the social ramifications of gum chewing in public?","You don't have an opinion on gum chewing in public, I see.",2
85,The H-2A worker must depart the country and is subject to deportation for failing to do so.,The H-2A worker committed a crime.,1
86,The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.,The stresses affected people as the researchers expected.,0
87,You have to walk through it).,You can stay where you are.,2
88,"The 28 sta?­tues representing the kings of Judah and Israel have been remodeled after the drawings of Viollet-le-Duc; the original ones were pulled down during the Revolution, since they were thought to be the kings of France.",The people who pulled down the statues were executed.,1
89,Ca'daan closed the door behind them and retied the not.,"Ca'daan closed the door as they entered, and bound it shut with rope.",0
90,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,A main train line went between all the small towns.,0
91,i think that the people that are um have um a lower income which you automatically equate with lower education,I think higher income equals lower education.,2
92,"Be of good cheer,","Be of good cheer, for beer time is near.",1
93,"In reviewing this history, it's important to make some crucial distinctions.",There's no point in analyzing the past.,2
94,"The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.",The Black River received its name because the water in its stream is actually black.,1
95,in our town of five thousand we have one that is uh local FM AM station and their news is fed from CNN too uh it's more of uh,The town radio station never relied on any national news sources.,2
96,There are certain categories of control activities that are common to all agencies.,Control activities such as safe business practices are universally common across all agencies.,1
97,"More than 100 judges, lawyers and dignitaries were present for the gathering.",Only two people showed up for the gathering.,2
98,He had forgotten about Adrin.,He remembered Adrin all this time.,2
99,"In other words, the paper exhibited the all-too-typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists.","The paper shows, the journalists exposing potential conflicts of interests around politicians, but never exposing other journalists.",0
100,The final reason for the teen renaissance is boomer self-obsession.,Boomer self-obsession is one of the reasons for teen renaissance.,0
101,"After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.","Jamaica was inherited by Columbus' son, Diego.",0
102,"They won't be killing off George Clooney's character at ER like they did to Jimmy Smits at NYPD . Instead, Dr. Doug Ross is being forced out over the next two episodes because the maverick heartthrob gives an unauthorized painkiller to a terminally ill boy (Thursday, 10 p.m.).",George Clooney will lose his job because the producers don't think he can act. ,2
103,"120 ""You do not think I ought to go to the police?""",Should I not go to the police?,0
104,yeah because those things i think would just snap you know,Because they would survive easily.,2
105,We have taken a number of steps to empower and invest in our employees.,The steps we have taken put programs for the employees in place.,0
106,"In the case of speech, Fiss appears to believe that the reason the American public is less enlightened than he would wish it to be concerning matters such as feminism, the rights of homosexuals, and regulation of industry is that people are denied access to the opinions and information that would enlighten them.","People in America are very well informed on controversial topics, according to Fiss.",2
107,"The rustic Bras-David picnic area, for example, is set alongside a burbling stream.",The picnic area is not near a stream.,2
108,and uh well if you if you got got him a power mower it'd probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a  with a pull tractor on it so i don't have to push so hard,He would mow your entire yard in eight minutes if he was using a power mower.,1
109,um-hum yeah i saw that for the first time yesterday in the evening,I was very impressed when I saw that yesterday.,1
110,"Bauerstein.""",Alfred Inglethorp,2
111,What have we for lunch? ,What are we going to eat for lunch?,0
112,A poll of Hong Kong residents finds them sanguine about the city's future.,A poll of Hong Kong residents finds them more sanguine about the city's future than before. ,1
113,well i meant when when you were when you were growing up i mean like Galveston,You grew up in Galveston and I grew up in Dallas.,1
114,I am so constituted as to be unable to give away money with any satisfaction until I have made the most careful inquiry as to the worthiness of the cause.,I have to research a cause carefully before donating money to it.,0
115,you know they they like what they're doing they you know they feel good about what they're doing that type of thing it's more,You can see the way that their whole demeanor has changed.,1
116,Can I help you?',I'm not helping you at all.,2
117,"The traditional opening time for many hotels is the Orthodox Easter, although some do not open until the end of April.",The hotels don't open in Halloween.,1
118,medical and surgical expense coverage.,Medical and surgical expenses were fully covered,1
119,exactly and when i'm sitting here on the sofa cross-stitching and all of a sudden somebody a man's got their hand on my door knob it's like uh like oh no and so i don't i don't like that and i guess the only way to prevent it would be just to pass a city ordinance to prevent that or,A man tried to enter the house so that he could rob it. ,1
120,"The Chinese calendar was used to calculate the year of Japan's foundation by counting back the 1,260 years of the Chinese cosmological cycle.",Japan's foundation was determined by using the Chinese calendar.,0
121,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,"When you pay $100 a month, it take a long time.",2
122,"Thus, the net scale benefit is initially positive, whether or not we adjust for the wage premium.",Initial net scale benefits are negative when adjusted for the wage premium.,2
123,"Look here, you've no business to come asking for me in this way.",There's no reason for you to be asking for me like this.,0
124,The experts point out that it is not age alone that determines a Chinese antique's value the dynasties of the past had their creative ups and downs.,Collectors base the price of their chinese antiques off of their age only.,2
125,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,There was only one town in the oil fields.,2
126,"Regulators may not be totally supportive of a more comprehensive business model because they are concerned that the information would be based on a lot of judgment and, therefore, lack of precision, which could make enforcement of reporting standards difficult.",Difficulty of reporting standards can be a huge obstacle for this business model.,0
127,"First, get the basics right, that is, the blocking and tackling of financial reporting.",The basics need to be right first.,0
128,"In a still faintly Victorian atmosphere, Dinard has preserved all the best assets of a good luxury villas and long, paved promenades, plush hotels, elegant boutiques, discothyques, casino, parks and gardens, and an Olympic-size public swimming pool.",Dinard maintains a Victorian sensibility while also including luxury elements.,0
129,"Along with each step, certain practices proved especially important to the success of their efforts.",No practices were helpful ,2
130,But there's SOMETHING.,There's absolutely nothing in there.,2
131,"It's easy to overdose on the many temples, palaces, and museums in India.",You'll find a scarcity of palaces and temples across India.,2
132,Very simply. ,Not complicatedly.,0
133,yeah they were my favorite team for a while,They had been my favorite team. ,0
134,"This historically renowned freshwater lake, known both as the Sea of Galilee and Lake Kinneret (meaning a harp, after its shape), is just 58 km (36 miles) in circumference.",The Sea of Galilee has also been known as Lake Kinneret for hundreds of years.,1
135,because i i mean i don't know it's just something i think something we need,"I think we could do without it, but it would change our quality of life greatly.",2
136,Jon walked back to the town to the smithy.,Jon continued on into the mountains.,2
137,The Leland Act  (1) simplify the household definition,The household definition can be simplified.,0
138,The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.,Individual reports that focus on its component units wouldn't include the data.,0
139,"Initial demand for land in the New Town was not spectacular; in fact, incentives had to be offered to entice buyers.","At first, demand for land in the New Town was high and property sold swiftly.",2
140,well they're so close to an undefeated undefeated season they can taste it and they wanna make history so i don't think they're gonna lack for motivation,"Unless they suffer any losses, they'll remain motivated.",1
141,"Thus, the net scale benefit is initially positive, whether or not we adjust for the wage premium.",Net scale benefits can become negative over time.,1
142, It was utterly mad.,It was perfectly normal.,2
143,saving that did not finance domestic investment would increase net foreign investment and improve the current account balance.,Saving could increase net foreign investment  substantially and quickly. ,1
144,"It has long been influenced by their differing traits, and has assimilated their various customs and practices.",Their different traits have had no impact on any cultures.,2
145,"But is the Internet so miraculous an advertising vehicle that Gross will be able to siphon off $400 per person from total ad spending of $1,000 per family--or persuade advertisers to spend an additional $400 to reach each of his customers?","Was the internet so great at advertising that Gross would pay $400 per person per ad, totalling spending $1000 per family or persuade adversisers to shell out an extra $400 to reach each customer?",0
146,The questions may need to be tailored to,There are some questions that may or may not need to be tailored to.,0
147,have you read Tom Clancy,He personally liked Tom Clancy.,1
148,"That's it. The girl looked at him, then passed her hand across her forehead.",The girl turned away from him and kept her hands still.,2
149,Melatonin,It has ten grams of melatonin.,1
150,Diets for men in their prime,A diet for men made up completely of meat. ,1
151,yeah it's just a matter of education i think,Yeah but education doesn't matter.,2
152,Three more days went by in dreary inaction.,The days passed by slowly.,1
153,Every August young women convene to light joss sticks and some even climb the nine-meter (30-ft) rock to pray for good husbands.,Women find husbands after climbing the rock and praying.  ,1
154,It was still night.,"The sun hadn't risen yet, for the moon was shining daringly in the sky.",0
155,"For example, if Ovitz's five-year deal was worth, say, $100 million, and if the compensation committee had added to that a front-end grant of free Disney shares worth, say, $50 million, then--assuming that Ovitz finished his five-year contract period--the cost to Disney would be $150 million.",The five-year deal will be worth $100 million,1
156,you know we keep a couple hundred dollars um if that much charged on those which isn't too bad it's just your normal,We have some money on there,0
157,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.","As long as Assad doesn't die in the hurricane, he will still be able to take care of the trouble with the soldiers. ",1
158,"Some experts say there's a greater chance of a making a catch in the cooler days of spring and autumn, and in the hours after sunset.",Experts say you should never try to make a catch after sunset.,2
159,"Across the river from the city, it has superb views; rooms are very contemporary in design.",It has terrible views of the parking lot.,2
160,"If not the most beautiful, the chateau is certainly the most formidable in the Loire Valley, a real defensive fortress, its black ramparts still forbidding despite having had their towers decapitated on the orders of Henri III.",The chateau is certainly the least formidable in all of the Loire Valley.,2
161,Two aromatic aniseed drinks are also produced locally.,The aniseed drinks have a good smell to them.,0
162,"In Japan, Mainichi Shimbun criticized the new Liberal Democratic Party leader Keizo Obuchi for being devoid of fresh ideas for reviving the Japanese economy.",Mainichi Shimbun approved of Keizo Obuchi's efforts toward improving the economy.,2
163,"Sandstone and granite were the materials used to build the Baroque church of Bom Jesus, famous for its casket of St. Francis Xavier's relics in the mausoleum to the right of the altar.",The Baroque chuch of Bom Jesus is a famous church made of sandstone and granite.,0
164,TEST ORGANISMS,Trial Living Plants,1
165,"Don't take it to heart, lad, he said kindly.",He was trying to console the lad.,0
166,"Summary of Deferred Maintenance as of September 30, 199Z (in Millions of Dollars):","Deferred Maintenance in Millions of Dollars, as of September 30, 199Z:",0
167,The opportunity,Opportunities are important to take advantage of.,1
168,uh wasn't that Jane Eyre no he wrote Jane Eyre too,Was it Jane Eyre or not?,0
169,"I shan't stop you.""",I will stop you.,2
170,ENVIRONMENTAL PROTECTION AGENCY,Agency which is responsible for the protection of the environment and the maintaining of national parks.,1
171,"These gardens used to belong to the governor's mountain lodge, but the building was demolished by the Japanese during the occupation of Hong Kong.",These gardens belong to the governor's mountain lodge.,2
172,"There is nothing more to be done here, I think, unless, he stared earnestly and long at the dead ashes in the grate. ",There isn't anything left to do. ,0
173,They are the four sentences you always insert in plagiarized papers to throw the professor off track.,"If you put these four sentences into your paper, professors will immediately know that it's been plagiarized.",2
174,"I think as soon as they get you, they'll come for me.",I'll help you get away.,1
175,"In short, this is a whole new costing area that would need to be undertaken.","In a nutshell, this new costing area would need to be undertaken.",0
176,Melatonin,It contains melatonin. ,1
177,You'll find galleries in all the major towns and in some of the smaller villages.,Smaller villages also operate galleries that can be found.,0
178,"They found plenty of water pouring down from the mountains, and more timber than anyone knew what to do with.",There was no water found pouring down from the mountains.,2
179,"On your right is the entrance to the 16th-century Sandal Bedesten, with lovely brick vaults supported on massive stone pillars.",We will not be able to show you the entrance to the Sandal Bedesten because of construction.,2
180,Progressives at last are noticing that the best argument for government activism is that it works.,Progressives are arguing that government activism does not work whatsoever. ,2
181,"No one was there, no bones at all.",Nothing was left from the body.,0
182,"While the NIPA measure reflects how government saving affects national saving available for investment, the unified budget measure is the more common frame of reference for discussing federal fiscal policy issues.",The NIPA measure is more reliable than the unified budget measure.,1
183,"My body is to me like a crippled rabbit that I don't want to pet, that I forget to feed on time, that I haven't time to play with and get to know, a useless rabbit kept in a cage that it would be cruel to turn loose.",I am anorexic.,1
